day,station,week,period,in,out
30,pddd,6,50,3706,2478
30,pddd,6,70,65,404
30,pddd,5,39,1665,2078
30,pddd,5,32,897,2245
30,pddd,3,48,2312,1539
30,pddd,4,71,1,43
30,pddd,7,39,1528,3346
30,pddd,2,36,1121,1639
30,pddd,5,38,1627,2052
30,pddd,2,63,2833,496
30,pddd,5,39,1639,2168
30,pddd,2,59,2742,938
30,pddd,1,61,2346,530
30,pddd,1,15,0,0
30,pddd,5,70,57,386
30,pddd,6,71,0,29
30,pddd,3,33,851,1992
30,pddd,2,24,654,3346
30,pddd,2,65,2971,404
30,pddd,2,40,1404,1556
30,pddd,1,45,1729,1425
30,pddd,6,49,4176,2912
30,pddd,6,56,3581,2281
30,pddd,4,57,4394,2517
30,pddd,3,43,1771,1697
30,pddd,6,46,2826,3194
30,pddd,5,55,7047,3981
30,pddd,7,66,2366,364
30,pddd,5,54,6630,3639
30,pddd,4,32,892,2484
30,pddd,4,22,397,1313
30,pddd,5,22,367,1400
30,pddd,7,19,123,351
30,pddd,5,62,3454,790
30,pddd,3,69,411,220
30,pddd,5,64,4660,624
30,pddd,7,64,2827,385
30,pddd,3,21,318,970
30,pddd,4,15,2,0
30,pddd,3,42,1681,1889
30,pddd,7,62,3238,681
30,pddd,2,65,1948,290
30,pddd,6,42,2198,3764
30,pddd,3,41,1764,1972
30,pddd,5,53,4983,3009
30,pddd,7,40,1474,3415
30,pddd,6,17,76,17
30,pddd,6,18,110,81
30,pddd,4,19,159,449
30,pddd,6,20,175,1346
30,pddd,3,26,780,9170
30,pddd,1,31,724,2285
30,pddd,5,66,3726,444
30,pddd,5,66,3862,462
30,pddd,2,41,1399,1622
30,pddd,3,63,2792,398
30,pddd,6,54,3434,2269
30,pddd,6,28,576,3189
30,pddd,7,55,3656,2110
30,pddd,7,17,52,14
30,pddd,5,40,1912,2051
30,pddd,7,67,3505,301
30,pddd,6,33,866,3809
30,pddd,3,26,829,8858
30,pddd,4,43,1926,1708
30,pddd,5,56,6724,4181
30,pddd,4,57,4468,2241
30,pddd,3,53,5018,2250
30,pddd,2,50,2127,1120
30,pddd,2,45,1530,1236
30,pddd,3,69,447,214
30,pddd,1,47,1847,1414
30,pddd,4,64,3338,462
30,pddd,3,35,1138,1741
30,pddd,5,58,3962,2665
30,pddd,4,36,1213,1806
30,pddd,3,54,7137,2530
30,pddd,1,59,2291,831
30,pddd,2,17,50,21
30,pddd,4,41,1620,1821
30,pddd,1,64,2687,375
30,pddd,4,18,97,30
30,pddd,4,58,3596,1890
30,pddd,7,55,4158,1987
30,pddd,3,68,1030,301
30,pddd,4,70,40,215
30,pddd,6,57,3062,2059
30,pddd,6,58,3132,1616
30,pddd,3,72,0,63
30,pddd,3,43,2026,1742
30,pddd,2,62,2338,445
30,pddd,4,60,2590,818
30,pddd,6,38,1855,3492
30,pddd,3,17,58,13
30,pddd,3,65,3166,377
30,pddd,6,66,3642,465
30,pddd,2,70,52,208
30,pddd,5,29,757,4807
30,pddd,2,16,5,4
30,pddd,2,69,492,170
30,pddd,6,62,3618,763
30,pddd,2,65,2746,398
30,pddd,7,71,0,126
30,pddd,1,52,3017,1797
30,pddd,1,51,2756,1428
30,pddd,4,61,2822,577
30,pddd,3,58,3390,1756
30,pddd,5,48,2533,1879
30,pddd,3,52,4315,1811
30,pddd,5,22,395,1327
30,pddd,3,30,745,3545
30,pddd,4,44,1785,1717
30,pddd,4,49,2591,1445
30,pddd,7,68,653,274
30,pddd,2,72,0,22
30,pddd,4,39,1472,1842
30,pddd,2,44,2023,1644
30,pddd,6,21,198,1529
30,pddd,5,58,3668,2720
30,pddd,6,64,4348,596
30,pddd,6,36,1122,3453
30,pddd,5,31,806,2531
30,pddd,6,58,3100,1621
30,pddd,2,36,1083,1603
30,pddd,3,50,2411,1394
30,pddd,5,51,3253,2050
30,pddd,3,52,4181,1638
30,pddd,2,59,2733,1107
30,pddd,5,20,209,1326
30,pddd,1,26,819,9102
30,pddd,2,57,4419,2283
30,pddd,1,71,0,46
30,pddd,6,26,462,2741
30,pddd,6,24,347,1627
30,pddd,7,45,2521,3337
30,pddd,7,72,0,0
30,pddd,2,33,860,1906
30,pddd,3,66,2443,371
30,pddd,7,51,3892,2568
30,pddd,2,66,2412,304
30,pddd,6,65,3910,528
30,pddd,5,63,3598,652
30,pddd,4,26,798,8576
30,pddd,6,59,2957,1328
30,pddd,5,56,6594,4032
30,pddd,1,58,1844,840
30,pddd,1,36,1074,1451
30,pddd,6,34,791,3499
30,pddd,7,15,2,0
30,pddd,3,57,4489,2487
30,pddd,1,31,730,2205
30,pddd,7,64,3651,449
30,pddd,4,31,688,2319
30,pddd,1,59,2816,991
30,pddd,5,60,2904,1200
30,pddd,2,62,2597,534
30,pddd,1,53,4878,1657
30,pddd,2,18,71,56
30,pddd,2,25,757,6141
30,pddd,4,72,0,34
30,pddd,7,15,1,0
30,pddd,3,71,1,64
30,pddd,4,38,1353,1757
30,pddd,4,61,2906,659
30,pddd,2,28,750,7663
30,pddd,3,22,431,1373
30,pddd,3,70,32,208
30,pddd,1,54,6948,2069
30,pddd,3,21,301,892
30,pddd,6,19,225,1067
30,pddd,4,70,91,437
30,pddd,3,69,448,216
30,pddd,1,27,739,11558
30,pddd,4,32,887,2098
30,pddd,4,56,6393,2858
30,pddd,3,31,804,2560
30,pddd,6,41,2389,3494
30,pddd,4,55,7139,2882
30,pddd,6,71,0,50
30,pddd,1,34,880,1575
30,pddd,6,38,1685,3633
30,pddd,7,49,3581,2268
30,pddd,1,37,1252,1513
30,pddd,4,45,1807,1440
30,pddd,3,36,1249,1713
30,pddd,1,56,2354,1595
30,pddd,1,41,1806,1747
30,pddd,1,42,1757,1685
30,pddd,7,30,548,2648
30,pddd,5,34,1085,1919
30,pddd,2,68,648,257
30,pddd,7,15,7,1
30,pddd,7,58,3484,1477
30,pddd,3,49,2472,1460
30,pddd,7,63,3009,503
30,pddd,5,38,1581,2163
30,pddd,2,46,2104,1406
30,pddd,5,31,786,2515
30,pddd,2,60,2440,775
30,pddd,5,47,2450,1900
30,pddd,6,55,3960,2620
30,pddd,6,45,3138,3599
30,pddd,4,35,1207,2114
30,pddd,3,23,434,2107
30,pddd,5,16,14,7
30,pddd,1,60,2381,783
30,pddd,4,24,554,3323
30,pddd,1,62,2414,514
30,pddd,2,40,1676,1866
30,pddd,5,37,1407,1859
30,pddd,7,49,3643,2134
30,pddd,2,47,2054,1439
30,pddd,1,67,3379,256
30,pddd,3,63,2945,437
30,pddd,2,35,938,1620
30,pddd,7,58,3123,1490
30,pddd,1,67,3246,294
30,pddd,5,50,2652,1875
30,pddd,2,55,7290,2043
30,pddd,4,37,1337,1627
30,pddd,6,36,1428,3516
30,pddd,3,43,1981,1662
30,pddd,7,37,983,3119
30,pddd,2,20,186,811
30,pddd,2,26,851,9136
30,pddd,4,50,2492,1361
30,pddd,2,52,4243,1324
30,pddd,7,28,391,2023
30,pddd,4,58,3912,2843
30,pddd,2,26,780,8791
30,pddd,2,27,712,11977
30,pddd,5,45,2329,1998
30,pddd,4,44,2111,1875
30,pddd,5,27,700,11138
30,pddd,2,52,4226,1667
30,pddd,2,32,835,2158
30,pddd,3,31,768,2446
30,pddd,7,20,108,473
30,pddd,2,35,929,1587
30,pddd,1,30,663,3383
30,pddd,2,45,1967,1592
30,pddd,5,34,1052,1914
30,pddd,5,49,2781,1801
30,pddd,4,70,54,242
30,pddd,3,67,3641,307
30,pddd,2,42,1556,1786
30,pddd,6,67,4644,452
30,pddd,2,44,1645,1510
30,pddd,3,57,4398,2777
30,pddd,3,18,78,42
30,pddd,6,47,3518,3026
30,pddd,5,66,4076,496
30,pddd,2,49,2311,1332
30,pddd,7,26,376,1863
30,pddd,5,18,81,18
30,pddd,1,20,235,801
30,pddd,2,67,3137,224
30,pddd,3,71,5,86
30,pddd,2,55,7079,2682
30,pddd,2,56,6497,2721
