day,station,week,period,in,out
30,rmgc,5,53,4969,3080
30,rmgc,5,54,7046,3322
30,rmgc,5,55,7047,3981
30,rmgc,5,56,6594,4032
30,rmgc,5,57,4860,3934
30,rmgc,5,58,3962,2665
30,rmgc,5,59,3432,1867
30,rmgc,5,60,3029,1260
30,rmgc,5,61,3166,1017
30,rmgc,5,62,3454,790
30,rmgc,5,63,3744,646
30,rmgc,5,64,4660,624
30,rmgc,5,65,4407,616
30,rmgc,5,66,4369,480
30,rmgc,5,67,4997,458
30,rmgc,5,68,1742,402
30,rmgc,5,69,787,299
30,rmgc,5,70,96,364
30,rmgc,5,71,0,67
30,rmgc,5,72,0,80
30,rmgc,6,15,1,0
30,rmgc,6,16,29,7
30,rmgc,6,17,76,17
30,rmgc,6,18,110,81
30,rmgc,6,19,166,1066
30,rmgc,6,20,175,1346
30,rmgc,6,21,225,1369
30,rmgc,6,22,251,1266
30,rmgc,6,23,294,1344
30,rmgc,6,24,326,1565
30,rmgc,6,25,410,2200
30,rmgc,6,26,462,2741
30,rmgc,6,27,474,3706
30,rmgc,6,28,576,3189
30,rmgc,6,29,595,2725
30,rmgc,6,30,642,3198
30,rmgc,6,31,824,2931
30,rmgc,6,32,805,3317
30,rmgc,6,33,866,3809
30,rmgc,6,34,966,3575
30,rmgc,6,35,1082,3614
30,rmgc,6,36,1370,3559
30,rmgc,6,37,1536,3302
30,rmgc,6,38,1701,3526
30,rmgc,6,39,1861,3633
30,rmgc,6,40,1972,3828
30,rmgc,6,41,2381,3543
30,rmgc,6,42,2421,4008
30,rmgc,6,43,2693,3910
30,rmgc,6,44,2863,3707
30,rmgc,6,45,3138,3599
30,rmgc,6,46,3526,3213
30,rmgc,6,47,3558,3159
30,rmgc,6,48,3720,2980
30,rmgc,6,49,3959,2568
30,rmgc,6,50,4286,2778
30,rmgc,6,51,4192,3212
30,rmgc,6,52,4335,3177
30,rmgc,6,53,4157,3405
30,rmgc,6,54,4095,3012
30,rmgc,6,55,3960,2620
30,rmgc,6,56,3581,2281
30,rmgc,6,57,3062,2059
30,rmgc,6,58,3132,1616
30,rmgc,6,59,2957,1328
30,rmgc,6,60,2961,1045
30,rmgc,6,61,3492,877
30,rmgc,6,62,3903,710
30,rmgc,6,63,3786,655
30,rmgc,6,64,4348,596
30,rmgc,6,65,3910,528
30,rmgc,6,66,3642,465
30,rmgc,6,67,4550,432
30,rmgc,6,68,1335,389
30,rmgc,6,69,692,331
30,rmgc,6,70,64,407
30,rmgc,6,71,1,58
30,rmgc,6,72,0,41
30,rmgc,7,15,2,0
30,rmgc,7,16,11,3
30,rmgc,7,17,52,14
30,rmgc,7,18,80,14
30,rmgc,7,19,123,351
30,rmgc,7,20,113,471
30,rmgc,7,21,151,550
30,rmgc,7,22,222,700
30,rmgc,7,23,251,933
30,rmgc,7,24,266,1033
30,rmgc,7,25,341,1440
30,rmgc,7,26,405,2074
30,rmgc,7,27,430,2976
30,rmgc,7,28,513,2756
30,rmgc,7,29,514,2737
30,rmgc,7,30,672,3039
30,rmgc,7,31,657,2727
30,rmgc,7,32,719,2993
30,rmgc,7,33,803,3570
30,rmgc,7,34,985,3382
30,rmgc,7,35,1135,3349
30,rmgc,7,36,1210,3342
30,rmgc,7,37,1559,3048
30,rmgc,7,38,1593,3207
30,rmgc,7,39,1630,3494
30,rmgc,7,40,1870,3179
30,rmgc,7,41,2096,2896
30,rmgc,7,42,2184,4282
30,rmgc,7,43,2489,3761
30,rmgc,7,44,2737,3327
30,rmgc,7,45,2950,3400
30,rmgc,7,46,3430,2949
30,rmgc,7,47,3621,2764
30,rmgc,7,48,3517,2752
30,rmgc,7,49,3961,2513
30,rmgc,7,50,3936,2330
30,rmgc,7,51,3892,2568
30,rmgc,7,52,4316,2580
30,rmgc,7,53,3829,2551
30,rmgc,7,54,3688,2282
30,rmgc,7,55,4158,1987
30,rmgc,7,56,3382,2030
30,rmgc,7,57,3036,1764
30,rmgc,7,58,3123,1490
30,rmgc,7,59,2860,1156
30,rmgc,7,60,2876,991
30,rmgc,7,61,3288,712
30,rmgc,7,62,3238,681
30,rmgc,7,63,3009,503
30,rmgc,7,64,3651,449
30,rmgc,7,65,2733,392
30,rmgc,7,66,2559,344
30,rmgc,7,67,3612,344
30,rmgc,7,68,856,266
30,rmgc,7,69,370,238
30,rmgc,7,70,21,363
30,rmgc,7,71,0,101
30,rmgc,7,72,0,119
30,rmgc,1,15,0,0
30,rmgc,1,16,16,4
30,rmgc,1,17,63,24
30,rmgc,1,18,86,47
30,rmgc,1,19,133,826
30,rmgc,1,20,235,801
30,rmgc,1,21,331,940
30,rmgc,1,22,416,1419
30,rmgc,1,23,509,2101
30,rmgc,1,24,614,3300
30,rmgc,1,25,707,6092
30,rmgc,1,26,819,9102
30,rmgc,1,27,739,11558
30,rmgc,1,28,776,8057
30,rmgc,1,29,646,5129
30,rmgc,1,30,663,3383
30,rmgc,1,31,730,2205
30,rmgc,1,32,753,2129
30,rmgc,1,33,863,1884
30,rmgc,1,34,880,1575
30,rmgc,1,35,893,1543
30,rmgc,1,36,980,1591
30,rmgc,1,37,1252,1513
30,rmgc,1,38,1311,1600
30,rmgc,1,39,1316,1671
30,rmgc,1,40,1396,1713
30,rmgc,1,41,1806,1747
30,rmgc,1,42,1757,1685
30,rmgc,1,43,1655,1607
30,rmgc,1,44,1566,1336
30,rmgc,1,45,1668,1312
30,rmgc,1,46,1870,1322
30,rmgc,1,47,1847,1414
30,rmgc,1,48,1953,1270
30,rmgc,1,49,2205,1174
30,rmgc,1,50,2221,1162
30,rmgc,1,51,2745,1319
30,rmgc,1,52,4284,1459
30,rmgc,1,53,4827,1675
30,rmgc,1,54,6948,2069
30,rmgc,1,55,7184,2284
30,rmgc,1,56,6597,2396
30,rmgc,1,57,4589,2121
30,rmgc,1,58,3580,1351
30,rmgc,1,59,2816,991
30,rmgc,1,60,2381,783
30,rmgc,1,61,2557,576
30,rmgc,1,62,2414,514
30,rmgc,1,63,2351,406
30,rmgc,1,64,2687,375
30,rmgc,1,65,2388,330
30,rmgc,1,66,2071,298
30,rmgc,1,67,3379,256
30,rmgc,1,68,735,239
30,rmgc,1,69,301,144
30,rmgc,1,70,24,133
30,rmgc,1,71,2,30
30,rmgc,1,72,0,23
30,rmgc,2,15,0,0
30,rmgc,2,16,17,5
30,rmgc,2,17,48,9
30,rmgc,2,18,71,56
30,rmgc,2,19,132,887
30,rmgc,2,20,186,811
30,rmgc,2,21,289,883
30,rmgc,2,22,398,1335
30,rmgc,2,23,483,1970
30,rmgc,2,24,604,3159
30,rmgc,2,25,705,5977
30,rmgc,2,26,780,8791
30,rmgc,2,27,712,11977
30,rmgc,2,28,750,7663
30,rmgc,2,29,718,5186
30,rmgc,2,30,701,3425
30,rmgc,2,31,729,2365
30,rmgc,2,32,817,2097
30,rmgc,2,33,860,1906
30,rmgc,2,34,933,1797
30,rmgc,2,35,929,1587
30,rmgc,2,36,1083,1603
30,rmgc,2,37,1121,1622
30,rmgc,2,38,1275,1637
30,rmgc,2,39,1395,1831
30,rmgc,2,40,1521,1757
30,rmgc,2,41,1509,1825
30,rmgc,2,42,1556,1786
30,rmgc,2,43,1632,1635
30,rmgc,2,44,1645,1510
30,rmgc,2,45,1735,1483
30,rmgc,2,46,1865,1386
30,rmgc,2,47,2054,1439
30,rmgc,2,48,2050,1395
30,rmgc,2,49,2311,1332
30,rmgc,2,50,2290,1298
30,rmgc,2,51,2891,1413
30,rmgc,2,52,4226,1667
30,rmgc,2,53,5100,2003
30,rmgc,2,54,7003,2089
30,rmgc,2,55,7079,2682
30,rmgc,2,56,6497,2721
30,rmgc,2,57,4419,2283
30,rmgc,2,58,3542,1520
30,rmgc,2,59,2733,1107
30,rmgc,2,60,2440,775
30,rmgc,2,61,2673,603
30,rmgc,2,62,2597,534
30,rmgc,2,63,2568,434
30,rmgc,2,64,3243,428
30,rmgc,2,65,2746,398
30,rmgc,2,66,2412,304
30,rmgc,2,67,3498,291
30,rmgc,2,68,986,273
30,rmgc,2,69,441,209
30,rmgc,2,70,52,208
30,rmgc,2,71,2,38
30,rmgc,2,72,0,22
30,rmgc,3,15,4,0
30,rmgc,3,16,22,2
30,rmgc,3,17,50,10
30,rmgc,3,18,78,42
30,rmgc,3,19,135,538
30,rmgc,3,20,187,702
30,rmgc,3,21,318,970
30,rmgc,3,22,431,1373
30,rmgc,3,23,434,2107
30,rmgc,3,24,635,3428
30,rmgc,3,25,823,6241
30,rmgc,3,26,780,9170
30,rmgc,3,27,729,10991
30,rmgc,3,28,754,8169
30,rmgc,3,29,743,5192
30,rmgc,3,30,768,3880
30,rmgc,3,31,804,2560
30,rmgc,3,32,853,2474
30,rmgc,3,33,964,2200
30,rmgc,3,34,1000,1986
30,rmgc,3,35,1145,1803
30,rmgc,3,36,1145,1837
30,rmgc,3,37,1305,1707
30,rmgc,3,38,1488,1824
30,rmgc,3,39,1564,1969
30,rmgc,3,40,1735,1851
30,rmgc,3,41,1764,1972
30,rmgc,3,42,1816,1996
30,rmgc,3,43,1981,1662
30,rmgc,3,44,1870,1640
30,rmgc,3,45,1912,1563
30,rmgc,3,46,2157,1542
30,rmgc,3,47,2285,1560
30,rmgc,3,48,2434,1588
30,rmgc,3,49,2597,1405
30,rmgc,3,50,2735,1437
30,rmgc,3,51,3008,1461
30,rmgc,3,52,4515,1705
